N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.95 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.95 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.95 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.95 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8375 10.0 0.84 1.0 0.55 1.0 0.74 0.8 0.975 0.72 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.825 10.0 0.8275 1.0 0.55 1.0 0.7275 0.75 0.975 0.7075 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8375 10.0 0.84 1.0 0.55 1.0 0.74 0.8 0.975 0.72 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.7 0.69 10.0 0.7175 1.0 0.55 1.0 0.69 0.8 0.975 0.665 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.85 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.85 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.855 10.0 0.8575 1.0 0.55 1.0 0.7575 0.9 0.975 0.7375 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.86 10.0 0.8625 1.0 0.55 1.0 0.7625 0.95 0.975 0.7425 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.95 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.95 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.985 10.0 0.985 1.0 0.55 1.0 0.8625 0.9 0.975 0.8625 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.95 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9875 10.0 0.9875 1.0 0.55 1.0 0.865 0.9 0.975 0.865 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9875 10.0 0.9875 1.0 0.55 1.0 0.865 0.9 0.975 0.865 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.985 10.0 0.985 1.0 0.55 1.0 0.8625 0.85 0.975 0.8625 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.95 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.95 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9775 10.0 0.9775 1.0 0.55 1.0 0.855 0.9 0.975 0.855 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9775 10.0 0.9775 1.0 0.55 1.0 0.855 0.9 0.975 0.855 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9775 10.0 0.9775 1.0 0.55 1.0 0.855 0.9 0.975 0.855 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9775 10.0 0.9775 1.0 0.55 1.0 0.855 0.9 0.975 0.855 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.95 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.95 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.95 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.985 10.0 0.985 1.0 0.55 1.0 0.8625 0.9 0.975 0.8625 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.985 10.0 0.985 1.0 0.55 1.0 0.8625 0.9 0.975 0.8625 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.85 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.85 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.9 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.95 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.55 1.0 0.8775 1.0 0.975 0.8775 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.95 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9725 10.0 0.9725 1.0 0.55 1.0 0.85 0.8 0.975 0.85 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.9 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.9 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8475 10.0 0.8525 1.0 0.55 1.0 0.7525 0.9 0.975 0.73 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8525 10.0 0.8575 1.0 0.55 1.0 0.7575 0.95 0.975 0.735 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8475 10.0 0.8525 1.0 0.55 1.0 0.7525 0.85 0.975 0.73 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8375 10.0 0.8425 1.0 0.55 1.0 0.7425 0.8 0.975 0.72 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.84 10.0 0.845 1.0 0.55 1.0 0.745 0.85 0.975 0.7225 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.83 10.0 0.835 1.0 0.55 1.0 0.735 0.8 0.975 0.7125 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8325 10.0 0.8375 1.0 0.55 1.0 0.7375 0.85 0.975 0.715 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8325 10.0 0.8375 1.0 0.55 1.0 0.7375 0.85 0.975 0.715 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.84 10.0 0.845 1.0 0.55 1.0 0.745 0.85 0.975 0.7225 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.84 10.0 0.845 1.0 0.55 1.0 0.745 0.85 0.975 0.7225 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.84 10.0 0.845 1.0 0.55 1.0 0.745 0.85 0.975 0.7225 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.9 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8475 10.0 0.85 1.0 0.55 1.0 0.75 0.85 0.975 0.73 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.845 10.0 0.8475 1.0 0.55 1.0 0.7475 0.8 0.975 0.7275 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9775 10.0 0.9775 1.0 0.55 1.0 0.855 0.85 0.975 0.855 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.9 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.9 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.9 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.98 10.0 0.98 1.0 0.55 1.0 0.8575 0.9 0.975 0.8575 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9825 10.0 0.9825 1.0 0.55 1.0 0.86 0.95 0.975 0.86 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.85 10.0 0.8525 1.0 0.55 1.0 0.7525 0.9 0.975 0.7325 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.85 10.0 0.8525 1.0 0.55 1.0 0.7525 0.9 0.975 0.7325 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.85 10.0 0.8525 1.0 0.55 1.0 0.7525 0.9 0.975 0.7325 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8475 10.0 0.85 1.0 0.55 1.0 0.75 0.85 0.975 0.73 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.865 10.0 0.8675 1.0 0.55 1.0 0.7675 0.9 0.975 0.7475 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8675 10.0 0.87 1.0 0.55 1.0 0.77 0.95 0.975 0.75 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.865 10.0 0.8675 1.0 0.55 1.0 0.7675 0.9 0.975 0.7475 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.865 10.0 0.8675 1.0 0.55 1.0 0.7675 0.9 0.975 0.7475 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.995 10.0 0.995 1.0 0.55 1.0 0.8725 0.9 0.975 0.8725 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.99 10.0 0.99 1.0 0.55 1.0 0.8675 0.85 0.975 0.8675 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.99 10.0 0.99 1.0 0.55 1.0 0.8675 0.85 0.975 0.8675 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.99 10.0 0.99 1.0 0.55 1.0 0.8675 0.85 0.975 0.8675 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9925 10.0 0.9925 1.0 0.55 1.0 0.87 0.9 0.975 0.87 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.9975 10.0 0.9975 1.0 0.55 1.0 0.875 0.95 0.975 0.875 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.835 10.0 0.8375 1.0 0.55 1.0 0.7375 0.8 0.975 0.7175 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.97 10.0 0.97 1.0 0.55 1.0 0.8475 0.9 0.975 0.8475 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.97 10.0 0.97 1.0 0.55 1.0 0.8475 0.9 0.975 0.8475 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.975 10.0 0.975 1.0 0.55 1.0 0.8525 0.95 0.975 0.8525 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.97 10.0 0.97 1.0 0.55 1.0 0.8475 0.9 0.975 0.8475 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.825 10.0 0.83 1.0 0.55 1.0 0.73 0.85 0.975 0.7075 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.85 10.0 0.855 1.0 0.55 1.0 0.755 0.9 0.975 0.7325 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.845 10.0 0.85 1.0 0.55 1.0 0.75 0.9 0.975 0.7275 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.845 10.0 0.85 1.0 0.55 1.0 0.75 0.9 0.975 0.7275 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.845 10.0 0.85 1.0 0.55 1.0 0.75 0.9 0.975 0.7275 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8425 10.0 0.8475 1.0 0.55 1.0 0.7475 0.85 0.975 0.725 0.16 1.0 0.048989794855663564 0.7 20.0 10.0
400.0 0.10076865081787252 1.0 0.5 20.0 1.0 0.025 390.0 1.0 0.99 10.0 0.99 1.0 0.55 1.0 0.8675 0.9 0.975 0.8675 0.16 1.0 0.048989794855663564 0.85 20.0 10.0
